city,sna,sarea,tot_quantity,sbi_quantity,bemp,lat,lng,update_time_display,load_factor,status_color,scrape_time
New Taipei,YouBike2.0_三重棒球場,三重區,25,8,16,25.0613,121.4815,20260615T210004,32.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_溪尾街196巷/仁美街口,三重區,18,4,14,25.0802,121.48587,20260615T211102,22.22222222222222,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_六張公園,三重區,42,29,13,25.06966,121.49405,20260615T211203,69.04761904761905,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_自然公園,三重區,36,11,25,25.08984,121.48799,20260615T205303,30.555555555555557,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁美街/三和路四段145巷口,三重區,12,2,10,25.07872,121.48636,20260615T211304,16.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光明市場,三重區,27,2,25,25.05734,121.49181,20260615T210902,7.4074074074074066,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_元富一街/仁義街79巷口,三重區,15,7,8,25.08006,121.49955,20260615T211102,46.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_國隆大仁街口,三重區,17,3,9,25.06468,121.492,20260615T210505,17.647058823529413,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三和慈愛街口,三重區,11,0,11,25.07814,121.48417,20260615T211216,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重社會福利服務中心,三重區,11,2,9,25.07781,121.49128,20260615T205803,18.181818181818183,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_捷運三和國中站(2號出口),三重區,17,0,16,25.07703,121.48635,20260615T210915,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三和龍門路口,三重區,18,9,9,25.0718,121.4949,20260615T211304,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_元信二仁愛街口,三重區,20,9,11,25.07709,121.49417,20260615T210004,45.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_力行路二段91巷口,三重區,13,3,10,25.07583,121.48255,20260615T211304,23.076923076923077,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_永福國小(永福街72巷),三重區,31,6,25,25.07657,121.47985,20260615T211304,19.35483870967742,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_格致中學,三重區,24,3,21,25.07403,121.48907,20260615T204503,12.5,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重派出所,三重區,15,8,7,25.06395,121.5023,20260615T211304,53.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_重陽橋市民活動中心,三重區,15,6,9,25.08634,121.49602,20260615T205402,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_二重埔市民活動中心,三重區,30,11,19,25.06622,121.47492,20260615T210302,36.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_神農街/光復路二段129巷口,三重區,26,12,14,25.05899,121.47409,20260615T210302,46.15384615384615,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光榮國中(秀江街),三重區,20,5,15,25.07221,121.49994,20260615T211203,25.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_神農興德路口(恆美社區),三重區,40,12,27,25.05333,121.47427,20260615T211403,30.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_正義國小地下停車場,三重區,13,1,12,25.06492,121.49491,20260615T211203,7.6923076923076925,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_群光公園,三重區,15,9,5,25.05604,121.47404,20260615T205103,60.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁信段平面停車場,三重區,12,5,7,25.07914,121.49629,20260615T210102,41.66666666666667,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中正北路25巷(交響院社區),三重區,40,8,31,25.06318,121.49185,20260615T211304,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_興穀國小,三重區,35,10,23,25.04937,121.47421,20260615T210802,28.57142857142857,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重區停八停車場,三重區,17,3,14,25.05365,121.47621,20260615T204701,17.647058823529413,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_國道車路頭街口,三重區,20,0,20,25.07307,121.48424,20260615T210915,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁愛街422巷口,三重區,17,6,11,25.08153,121.49026,20260615T211403,35.294117647058826,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_德厚公園,三重區,15,7,8,25.04883,121.47809,20260615T205402,46.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_永德市民活動中心,三重區,20,10,10,25.07285,121.48842,20260615T205702,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍濱公園,三重區,14,5,9,25.07298,121.50218,20260615T205603,35.714285714285715,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_簡仔舍街(河家歡社區),三重區,40,16,24,25.05138,121.48652,20260615T211203,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_碧華國中(三賢街),三重區,30,6,24,25.08861,121.48832,20260615T205903,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_溪尾街(國道橋下),三重區,15,2,13,25.07486,121.49151,20260615T211304,13.333333333333334,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_重新路五段(心天匯社區),三重區,40,0,40,25.04468,121.46815,20260615T203816,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_興德路134號(前),三重區,20,1,19,25.05287,121.47102,20260615T203904,5.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_自強臨時平面停車場,三重區,21,12,9,25.08229,121.49515,20260615T211304,57.14285714285714,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁義街26巷,三重區,17,8,9,25.0774,121.49811,20260615T210902,47.05882352941176,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中正北重陽路口,三重區,12,3,9,25.06417,121.48736,20260615T211203,25.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光復路一段15巷口,三重區,29,20,8,25.04751,121.47213,20260615T211304,68.96551724137932,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光復路一段99巷口,三重區,18,4,14,25.05109,121.47209,20260615T211102,22.22222222222222,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光復興德路口(東南側),三重區,18,12,6,25.05251,121.4721,20260615T211203,66.66666666666666,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光復路二段42巷口,三重區,18,4,14,25.05452,121.47203,20260615T210202,22.22222222222222,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光復中興北街175巷口(西北側),三重區,41,9,32,25.05676,121.47205,20260615T210703,21.951219512195124,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_集美街58巷口(東北側),三重區,16,0,16,25.055,121.48833,20260615T210915,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三和路四段73號旁,三重區,15,8,7,25.07513,121.48977,20260615T211004,53.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三信集英路口,三重區,13,7,6,25.08563,121.48748,20260615T211102,53.84615384615385,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_慈化公園,三重區,16,7,8,25.08461,121.48864,20260615T210302,43.75,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三張地下停車場,三重區,22,10,12,25.07054,121.48981,20260615T205702,45.45454545454545,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁愛仁和街口,三重區,15,3,12,25.07354,121.49569,20260615T210902,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_修德國小(重陽路三段),三重區,22,14,8,25.0662,121.48895,20260615T211102,63.63636363636363,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重重陽公園,三重區,15,4,11,25.05753,121.48367,20260615T211004,26.666666666666668,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三和國中(自強路三段110巷),三重區,22,0,21,25.0748,121.48694,20260615T210315,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_頂崁街210巷28弄口,三重區,15,10,5,25.06803,121.47586,20260615T211004,66.66666666666666,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_河邊北街100巷口,三重區,20,3,17,25.07043,121.50404,20260615T204302,15.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_谷王公園,三重區,18,7,8,25.05283,121.47718,20260615T204503,38.88888888888889,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁義街37巷元富一街口,三重區,40,18,22,25.07785,121.5003,20260615T210302,45.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁信段平面停車場(元信一街),三重區,30,17,13,25.07791,121.49692,20260615T205402,56.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重忠孝公園,三重區,28,14,14,25.06325,121.47932,20260615T211203,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重環河陸橋,三重區,16,5,11,25.08149,121.49943,20260615T210704,31.25,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁愛仁政街145巷口,三重區,18,3,15,25.07949,121.49219,20260615T211403,16.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁愛街458巷口,三重區,20,11,9,25.08211,121.49015,20260615T202903,55.00000000000001,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_重新橋第1市民活動中心,三重區,15,10,5,25.05355,121.48563,20260615T211403,66.66666666666666,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_集賢三信路口(南側),三重區,17,7,9,25.08861,121.49187,20260615T204005,41.17647058823529,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_水漾成功一街口,三重區,32,25,7,25.05004,121.48557,20260615T211004,78.125,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_新北大道二段139巷,三重區,11,1,9,25.05981,121.46662,20260615T202004,9.090909090909092,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_長榮龍濱路口,三重區,19,13,6,25.06908,121.50238,20260615T211102,68.42105263157895,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_恩主公醫院,三峽區,54,15,36,24.93891,121.36355,20260615T211004,27.77777777777778,green,2026-06-15 21:17:53
